station,latitude,longitude,location,PM2.5_trend,PM10_trend,NO2_trend,O3_trend,env_improvement_index,current_PM2.5,current_PM10,current_NO2,current_O3,pm25_volatility,bus_stops_nearby,nearest_bus_stop_km
DEB-KER01,47.577175,21.502204,"ÉNYGÖ, BMW körút",0.004058672808672809,-0.01209184334184339,0.3415701386294189,-3.6134145946645937,0.8199694066420864,5.042708333333334,11.575520833333334,17.662999188311687,101.55781250000001,1.9338573722639196,2,0.781
DEB-KER02,47.59067666,21.52888622,"ÉNYGÖ, M35 Józsa új csomópont",-0.02226488732030604,-0.005535889033425997,0.06985273275030182,-1.9867347679231915,0.4861707028816554,3.3588541666666667,7.830208333333333,13.489453933747413,93.203125,1.5017103721029632,2,0.577
DEB-KER03,47.46442193,21.58860163,"Szepes, Sárga dűlő",-0.007014275120504272,-0.0203926079482253,0.05788685239491692,-3.304235177132841,0.8184388019516634,4.540104166666667,11.846875,12.48666213768116,100.8671875,1.668641245302185,5,0.072
DEB-KER04,47.46163523,21.63297768,DGÖ 481-47 kereszteződés nyugati sarok,-0.001703660633026583,-0.020136599588768674,0.09626976597090446,-2.7801964303771873,0.6764417311570196,3.8864583333333336,11.102604166666666,15.763096033868091,98.94375,1.6028979722722294,2,0.635
DEB-KER05,47.54820104,21.66937425,Szabó Pál utca 59,-0.011306754980281119,-0.020226682846260204,-0.16497840474912479,-2.583425234387415,0.6949842692407703,5.652604166666666,12.755208333333334,11.832929841897233,98.42604166666666,1.1316647961827198,20,0.205
DEB-KER06,47.53312747,21.64505351,Karácsony György utcai bölcsőde,-0.07494076589690074,-0.20353488211905768,-0.03859528752889855,-1.5530360662777112,0.46752675045564207,2.1110863095238095,3.198958333333333,11.194766865079364,105.09517045454545,1.300979219053539,30,0.196
DEB-KER07,47.50509508,21.63577625,"Debrecen, Szávay Gyula street Idősek otthona",-0.011351585937236652,-0.09608900461792563,0.04857548149539251,-3.0990636060268986,0.789482178771667,6.015104166666667,13.236458333333333,14.380230978260869,94.8828125,1.223730587800941,29,0.206
DEB-KER08,47.56103507,21.63423132,"Debrecen, Benczúr Gyula u. 5",-0.03881905088511462,-0.227073171625331,-0.05625603450782712,-2.1146885276814187,0.6092091961749229,2.9213541666666667,5.315625000000001,13.54869963219148,92.06770833333334,0.9374394537322553,15,0.271
DEB-KER09,47.54547049,21.61669657,Sétakert utca 1-3,-0.022370563252098265,-0.05851982000202243,0.03170795084913684,-2.1672448343277035,0.5541068166831719,5.197395833333333,10.107812500000001,12.9421875,71.3359375,1.4706097318526148,56,0.077
DEB-KER10,47.52506265,21.60358902,Angyalföld tér 4.,0.0030326625543533065,0.01533682205817911,0.02703428672297588,-2.0268315072668934,0.4953569339828463,6.348958333333333,15.06875,20.28870018115942,65.09010416666666,1.1993795378857397,41,0.297
DEB-KER11,47.52324542,21.6337404,Petőfi tér,-0.04182113122324467,-0.31189790002359535,0.22463138054628595,-3.456514393096706,0.896400510949315,6.344270833333333,19.98802083333333,15.79003417325428,90.36354166666666,3.6655941687102027,50,0.163
DEB-KER12,47.55811817,21.83798877,Debrecen-Haláp Hármashegy Erdei Iskola,-0.03988304024018309,-0.28466221609078746,0.07703685238281799,-3.8043097048454184,1.0129545271983926,5.890252976190476,12.279761904761905,11.602442417184264,63.57239583333333,1.0260477834424924,0,3.43
DEB-KER13,47.55757175,21.59611899,Vezér úti Víztározó,-0.0018705126908686533,0.053363417264974566,-0.011104334405901355,-2.1340178481140666,0.5234073194864655,5.444791666666666,14.323958333333334,16.207805853566725,89.72447916666667,1.1420522569088427,21,0.248
DEB-KER14,47.44742297,21.63063962,"Mikepércs, Rózsás utca",-0.056275069943034335,-0.2771003134796239,0.11936301277513735,-3.173942006269592,0.8469885942292783,4.269791666666666,8.735416666666666,12.064583333333333,117.62604166666667,1.5353585803184306,0,2.089
DEB-KER15,47.54361985,21.62301311,"Debrecen, Bem tér 18/C, ATOMKI",-0.04500151683688947,-0.18660017864967807,-0.14595006235884989,-2.620057386995652,0.7494022862102674,4.015104166666667,6.6937500000000005,13.575520833333332,88.30052083333334,0.9854541251279563,51,0.192
DEB-KER18,47.59773497,21.58018664,"Debrecen-Józsa, Klastrompart sor, játszótér",-0.03095291064145346,-0.06608201031449083,-0.3839746556340598,-3.5286976269929538,1.0024268008957395,3.6234375,9.2828125,13.20269474637681,87.34010416666666,1.1877894552110657,21,0.212
